system:index,doa,mean_std,stats_percentile,.geo
S1A_IW_GRDH_1SDV_20190429T062416_20190429T062440_027001_030A36_FB18,201904119,"{VV_mean=-18.76930018876774, VV_stdDev=7.686162050482412, VH_mean=-28.273803045914953, VH_stdDev=8.26444731496399}","{VV_p2=-34.74765185391671, VV_p98=-6.7667985365114705, VH_p2=-39.23665045454912, VH_p98=-13.769989821087945}",
S1B_IW_GRDH_1SDV_20190505T062320_20190505T062345_016105_01E4BD_6AE9,201905125,"{VV_mean=-15.743765868231844, VV_stdDev=5.689906145871944, VH_mean=-24.9360398676126, VH_stdDev=8.055139238221136}","{VV_p2=-26.73687897961431, VV_p98=-7.268205000511615, VH_p2=-38.238474482518455, VH_p98=-14.27018461030748}",
S1A_IW_GRDH_1SDV_20190511T062351_20190511T062416_027176_03103D_CECA,201905131,"{VV_mean=-14.443698302816756, VV_stdDev=4.620924277680802, VH_mean=-26.724732463565267, VH_stdDev=8.109780239803879}","{VV_p2=-21.7331391149491, VV_p98=-5.265267259220183, VH_p2=-37.23381237388943, VH_p98=-13.268524669459467}",
S1A_IW_GRDH_1SDV_20190511T062416_20190511T062441_027176_03103D_66A3,201905131,"{VV_mean=-14.113198094973175, VV_stdDev=4.545569837171404, VH_mean=-26.39130219442774, VH_stdDev=7.462474854680284}","{VV_p2=-22.23483975234493, VV_p98=-5.767228767863048, VH_p2=-36.23597083598556, VH_p98=-13.269654219447222}",
S1B_IW_GRDH_1SDV_20190517T062321_20190517T062346_016280_01EA35_0B06,201905137,"{VV_mean=-15.319867018785164, VV_stdDev=5.174490596854268, VH_mean=-24.749736428392573, VH_stdDev=8.011239074653474}","{VV_p2=-24.734346734927804, VV_p98=-6.766758917445313, VH_p2=-38.23657677132434, VH_p98=-13.767515156774136}",
S1A_IW_GRDH_1SDV_20190523T062352_20190523T062416_027351_0315B5_5ECF,201905143,"{VV_mean=-19.784660484259856, VV_stdDev=7.69320799103365, VH_mean=-28.294491131942753, VH_stdDev=8.102920206849989}","{VV_p2=-35.24440782305407, VV_p98=-7.265050699056101, VH_p2=-39.23697925504794, VH_p98=-13.76700044967058}",
S1A_IW_GRDH_1SDV_20190523T062417_20190523T062442_027351_0315B5_86F3,201905143,"{VV_mean=-22.38784725310852, VV_stdDev=8.799832954221042, VH_mean=-28.666288205994945, VH_stdDev=8.171560060386177}","{VV_p2=-35.7415573579068, VV_p98=-7.266596440073921, VH_p2=-39.73654454429852, VH_p98=-13.769508435134489}",
S1B_IW_GRDH_1SDV_20190529T062321_20190529T062346_016455_01EF94_011F,201905149,"{VV_mean=-14.951484664546957, VV_stdDev=5.043464923684325, VH_mean=-24.609371391677925, VH_stdDev=8.104821989979143}","{VV_p2=-23.224401079185697, VV_p98=-6.766039112446669, VH_p2=-38.235787921901014, VH_p98=-13.265179618887695}",
S1A_IW_GRDH_1SDV_20190604T062352_20190604T062417_027526_031B26_C930,201906155,"{VV_mean=-17.920688115511314, VV_stdDev=5.9044479566863295, VH_mean=-27.98784091841671, VH_stdDev=7.886672779558437}","{VV_p2=-30.742952164707866, VV_p98=-7.264662569137347, VH_p2=-38.735358525937066, VH_p98=-13.768228096225739}",
S1A_IW_GRDH_1SDV_20190604T062417_20190604T062442_027526_031B26_1B11,201906155,"{VV_mean=-17.048552412541788, VV_stdDev=5.148683307189447, VH_mean=-28.012968051945627, VH_stdDev=7.778365693180277}","{VV_p2=-25.734987737089245, VV_p98=-7.265992118981326, VH_p2=-38.23527236718246, VH_p98=-13.768446974456216}",
S1B_IW_GRDH_1SDV_20190610T062322_20190610T062347_016630_01F4CC_D219,201906161,"{VV_mean=-14.487590080539306, VV_stdDev=6.629597673866868, VH_mean=-23.61235189235196, VH_stdDev=8.98333941319423}","{VV_p2=-28.242386748807835, VV_p98=-5.266291950740202, VH_p2=-38.7376499358731, VH_p98=-12.769610954952626}",
S1A_IW_GRDH_1SDV_20190616T062353_20190616T062418_027701_03206F_FD8F,201906167,"{VV_mean=-15.116388808583052, VV_stdDev=4.628396244521797, VH_mean=-26.46626322041698, VH_stdDev=7.948102186623945}","{VV_p2=-21.22155169507297, VV_p98=-5.769591163629421, VH_p2=-36.73472922652328, VH_p98=-12.771201961272277}",
S1A_IW_GRDH_1SDV_20190616T062418_20190616T062443_027701_03206F_C7B8,201906167,"{VV_mean=-15.235607585326449, VV_stdDev=4.7390669972122, VH_mean=-27.06750897168722, VH_stdDev=8.08605780443167}","{VV_p2=-22.224110736963535, VV_p98=-6.268788938454188, VH_p2=-37.233776725012625, VH_p98=-12.770354084791292}",
S1B_IW_GRDH_1SDV_20190622T062323_20190622T062348_016805_01F9FE_D1C1,201906173,"{VV_mean=-13.509601380441858, VV_stdDev=4.446954964325614, VH_mean=-23.637612203299824, VH_stdDev=8.3052421513687}","{VV_p2=-21.228752654209742, VV_p98=-6.269578651728676, VH_p2=-37.23385805381187, VH_p98=-12.76667403558012}",
